term	name	namespace	depth	k	n	p	q	-1.0log(q)	accepted
GO:0004864	protein phosphatase inhibitor activity	molecular_function	5	18	52	0.015465321359211756	0.04952206847727873	1.305201223650564	True
GO:0035904	aorta development	biological_process	5	18	52	0.015465321359211756	0.04952206847727873	1.305201223650564	True
GO:0042733	embryonic digit morphogenesis	biological_process	4	22	67	0.015421500008700084	0.04943590803447016	1.3059574843512094	True
GO:0097066	response to thyroid hormone	biological_process	4	11	27	0.015272954216646402	0.048986008106750474	1.3099279499669594	True
GO:0030663	COPI-coated vesicle membrane	cellular_component	4	11	27	0.015272954216646402	0.048986008106750474	1.3099279499669594	True
GO:0033233	regulation of protein sumoylation	biological_process	8	11	27	0.015272954216646402	0.048986008106750474	1.3099279499669594	True
GO:0007259	receptor signaling pathway via JAK-STAT	biological_process	5	15	41	0.015276963951519309	0.048986008106750474	1.3099279499669594	True
GO:0005665	RNA polymerase II, core complex	cellular_component	5	11	27	0.015272954216646402	0.048986008106750474	1.3099279499669594	True
GO:1905369	endopeptidase complex	cellular_component	4	43	150	0.014885863216068567	0.04787637602725106	1.3198787306744102	True
GO:0005940	septin ring	cellular_component	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0042761	very long-chain fatty acid biosynthetic process	biological_process	6	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0001055	RNA polymerase II activity	molecular_function	6	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0001741	XY body	cellular_component	6	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0017110	nucleoside-diphosphatase activity	molecular_function	6	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0060992	response to fungicide	biological_process	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0030123	AP-3 adaptor complex	cellular_component	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:1900029	positive regulation of ruffle assembly	biological_process	6	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0032160	septin filament array	cellular_component	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0001222	transcription corepressor binding	molecular_function	5	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0036020	endolysosome membrane	cellular_component	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0045176	apical protein localization	biological_process	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0015216	purine nucleotide transmembrane transporter activity	molecular_function	5	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:2000615	regulation of histone H3-K9 acetylation	biological_process	9	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0030575	nuclear body organization	biological_process	5	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:1901611	phosphatidylglycerol binding	molecular_function	4	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0033127	regulation of histone phosphorylation	biological_process	8	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0008494	translation activator activity	molecular_function	3	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:1901659	glycosyl compound biosynthetic process	biological_process	5	21	63	0.014832530836241269	0.04774380156379865	1.321083003585467	True
GO:0036038	MKS complex	cellular_component	2	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0005041	low-density lipoprotein particle receptor activity	molecular_function	3	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:0048280	vesicle fusion with Golgi apparatus	biological_process	6	7	14	0.01484055896696983	0.04774380156379865	1.321083003585467	True
GO:1990907	beta-catenin-TCF complex	cellular_component	5	6	11	0.014535289272067054	0.04711174573876794	1.3268708025614566	True
GO:2000674	regulation of type B pancreatic cell apoptotic process	biological_process	8	6	11	0.014535289272067054	0.04711174573876794	1.3268708025614566	True
GO:0042308	negative regulation of protein import into nucleus	biological_process	6	6	11	0.014535289272067054	0.04711174573876794	1.3268708025614566	True
GO:1903960	negative regulation of anion transmembrane transport	biological_process	7	6	11	0.014535289272067054	0.04711174573876794	1.3268708025614566	True
GO:0010870	positive regulation of receptor biosynthetic process	biological_process	6	6	11	0.014535289272067054	0.04711174573876794	1.3268708025614566	True
GO:1904590	negative regulation of protein import	biological_process	6	6	11	0.014535289272067054	0.04711174573876794	1.3268708025614566	True
